parameter_name,sweep_point,parameter_value,metric_name,baseline_metric,perturbed_metric,metric_pct_change,parameter_pct_change,elasticity,relationship_type
pop_activity_mu,1,0.31,private_chats_per_player_day,0.2172,0.2209,0.0169,-0.38,-0.0446,ASSOCIATION
pop_activity_mu,1,0.31,good_good_chat_ratio,0.5066,0.5263,0.0389,-0.38,-0.1023,ASSOCIATION
pop_activity_mu,1,0.31,evil_evil_chat_ratio,0.5094,0.5397,0.0595,-0.38,-0.1565,ASSOCIATION
pop_activity_mu,1,0.31,claim_disclosure_rate,0.4032,0.4018,-0.0034,-0.38,0.0089,ASSOCIATION
pop_activity_mu,1,0.31,nomination_friendly_fire_rate,0.7252,0.7283,0.0043,-0.38,-0.0112,ASSOCIATION
pop_activity_mu,1,0.31,execution_friendly_fire_rate,0.8292,0.8183,-0.0132,-0.38,0.0347,ASSOCIATION
pop_activity_mu,1,0.31,vote_consistency,0.4374,0.4359,-0.0035,-0.38,0.0093,ASSOCIATION
pop_activity_mu,1,0.31,vote_participation_rate,0.4888,0.4919,0.0064,-0.38,-0.0169,ASSOCIATION
pop_activity_mu,1,0.31,night_kill_value_percentile,0.5485,0.5527,0.0077,-0.38,-0.0203,ASSOCIATION
pop_activity_mu,1,0.31,monk_protection_quality,0.2052,0.1977,-0.0366,-0.38,0.0963,ASSOCIATION
pop_activity_mu,1,0.31,trust_error_rate,0.5801,0.5826,0.0043,-0.38,-0.0114,ASSOCIATION
pop_activity_mu,2,0.4013,private_chats_per_player_day,0.2172,0.2216,0.0201,-0.1974,-0.1017,ASSOCIATION
pop_activity_mu,2,0.4013,good_good_chat_ratio,0.5066,0.5236,0.0335,-0.1974,-0.1696,ASSOCIATION
pop_activity_mu,2,0.4013,evil_evil_chat_ratio,0.5094,0.5334,0.0471,-0.1974,-0.2384,ASSOCIATION
pop_activity_mu,2,0.4013,claim_disclosure_rate,0.4032,0.4178,0.0363,-0.1974,-0.1839,ASSOCIATION
pop_activity_mu,2,0.4013,nomination_friendly_fire_rate,0.7252,0.7255,0.0005,-0.1974,-0.0024,ASSOCIATION
pop_activity_mu,2,0.4013,execution_friendly_fire_rate,0.8292,0.8152,-0.0169,-0.1974,0.0857,ASSOCIATION
pop_activity_mu,2,0.4013,vote_consistency,0.4374,0.4372,-0.0004,-0.1974,0.002,ASSOCIATION
pop_activity_mu,2,0.4013,vote_participation_rate,0.4888,0.4981,0.0191,-0.1974,-0.0968,ASSOCIATION
pop_activity_mu,2,0.4013,night_kill_value_percentile,0.5485,0.5541,0.0102,-0.1974,-0.0515,ASSOCIATION
pop_activity_mu,2,0.4013,monk_protection_quality,0.2052,0.1861,-0.0931,-0.1974,0.4718,ASSOCIATION
pop_activity_mu,2,0.4013,trust_error_rate,0.5801,0.5804,0.0006,-0.1974,-0.0029,ASSOCIATION
pop_activity_mu,3,0.5,private_chats_per_player_day,0.2172,0.223,0.0268,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,good_good_chat_ratio,0.5066,0.5266,0.0394,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,evil_evil_chat_ratio,0.5094,0.53,0.0405,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,claim_disclosure_rate,0.4032,0.4124,0.0229,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,nomination_friendly_fire_rate,0.7252,0.7288,0.005,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,execution_friendly_fire_rate,0.8292,0.7985,-0.037,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,vote_consistency,0.4374,0.4356,-0.0042,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,vote_participation_rate,0.4888,0.497,0.0168,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,night_kill_value_percentile,0.5485,0.5565,0.0146,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,monk_protection_quality,0.2052,0.1898,-0.0751,0.0,0.0,ASSOCIATION
pop_activity_mu,3,0.5,trust_error_rate,0.5801,0.5831,0.0051,0.0,0.0,ASSOCIATION
pop_activity_mu,4,0.5987,private_chats_per_player_day,0.2172,0.2222,0.0231,0.1974,0.1171,ASSOCIATION
pop_activity_mu,4,0.5987,good_good_chat_ratio,0.5066,0.5192,0.0248,0.1974,0.1255,ASSOCIATION
pop_activity_mu,4,0.5987,evil_evil_chat_ratio,0.5094,0.5302,0.0408,0.1974,0.2066,ASSOCIATION
pop_activity_mu,4,0.5987,claim_disclosure_rate,0.4032,0.4007,-0.0062,0.1974,-0.0313,ASSOCIATION
pop_activity_mu,4,0.5987,nomination_friendly_fire_rate,0.7252,0.7293,0.0057,0.1974,0.0289,ASSOCIATION
pop_activity_mu,4,0.5987,execution_friendly_fire_rate,0.8292,0.7987,-0.0368,0.1974,-0.1865,ASSOCIATION
pop_activity_mu,4,0.5987,vote_consistency,0.4374,0.4353,-0.0047,0.1974,-0.0239,ASSOCIATION
pop_activity_mu,4,0.5987,vote_participation_rate,0.4888,0.4927,0.008,0.1974,0.0403,ASSOCIATION
pop_activity_mu,4,0.5987,night_kill_value_percentile,0.5485,0.5455,-0.0055,0.1974,-0.0279,ASSOCIATION
pop_activity_mu,4,0.5987,monk_protection_quality,0.2052,0.1779,-0.1332,0.1974,-0.6749,ASSOCIATION
pop_activity_mu,4,0.5987,trust_error_rate,0.5801,0.5835,0.0058,0.1974,0.0293,ASSOCIATION
pop_activity_mu,5,0.69,private_chats_per_player_day,0.2172,0.2204,0.0146,0.38,0.0383,ASSOCIATION
pop_activity_mu,5,0.69,good_good_chat_ratio,0.5066,0.5204,0.0272,0.38,0.0716,ASSOCIATION
pop_activity_mu,5,0.69,evil_evil_chat_ratio,0.5094,0.5232,0.0272,0.38,0.0715,ASSOCIATION
pop_activity_mu,5,0.69,claim_disclosure_rate,0.4032,0.4066,0.0085,0.38,0.0223,ASSOCIATION
pop_activity_mu,5,0.69,nomination_friendly_fire_rate,0.7252,0.7248,-0.0006,0.38,-0.0016,ASSOCIATION
pop_activity_mu,5,0.69,execution_friendly_fire_rate,0.8292,0.8169,-0.0148,0.38,-0.039,ASSOCIATION
pop_activity_mu,5,0.69,vote_consistency,0.4374,0.4376,0.0005,0.38,0.0013,ASSOCIATION
pop_activity_mu,5,0.69,vote_participation_rate,0.4888,0.4902,0.0029,0.38,0.0075,ASSOCIATION
pop_activity_mu,5,0.69,night_kill_value_percentile,0.5485,0.5432,-0.0096,0.38,-0.0253,ASSOCIATION
pop_activity_mu,5,0.69,monk_protection_quality,0.2052,0.1798,-0.1236,0.38,-0.3253,ASSOCIATION
pop_activity_mu,5,0.69,trust_error_rate,0.5801,0.5798,-0.0005,0.38,-0.0013,ASSOCIATION
pop_social_initiative_mu,1,0.31,private_chats_per_player_day,0.2172,0.2182,0.0047,-0.38,-0.0123,ASSOCIATION
pop_social_initiative_mu,1,0.31,good_good_chat_ratio,0.5066,0.5253,0.0369,-0.38,-0.097,ASSOCIATION
pop_social_initiative_mu,1,0.31,evil_evil_chat_ratio,0.5094,0.5322,0.0448,-0.38,-0.1178,ASSOCIATION
pop_social_initiative_mu,1,0.31,claim_disclosure_rate,0.4032,0.3853,-0.0444,-0.38,0.117,ASSOCIATION
